rank,language,language_id,aliases,active_repositories,market_share
232,PowerBuilder,292,,176,0.000386
233,Promela,441858312,,176,0.000386
234,Cadence,270184138,,171,0.000375
235,F*,336943375,fstar,170,0.000373
236,KCL,1052003890,,169,0.000371
237,HIP,674379998,,166,0.000364
238,KakouneScript,603336474,"kak, kakscript",165,0.000362
239,Common Workflow Language,988547172,cwl,159,0.000349
240,NWScript,731233819,,157,0.000344
241,Bluespec,36,"bluespec bsv, bsv",152,0.000333
242,MiniZinc,238874535,,148,0.000325
243,Power Query,37496382,powerquery,147,0.000322
244,HiveQL,931814087,,147,0.000322
245,TypeSpec,952272597,tsp,145,0.000318
246,Toit,356554395,,144,0.000316
247,Vyper,1055641948,,144,0.000316
248,Faust,622529198,,142,0.000311
249,APL,6,,142,0.000311
250,sed,847830017,,141,0.000309
251,Witcher Script,686821385,,138,0.000303
252,Mathematical Programming System,429002699,,137,0.000300
253,Praat,106029007,,137,0.000300
254,Berry,121855308,be,132,0.000289
255,Flix,800935960,,130,0.000285
256,Nasal,178322513,,125,0.000274
257,Red,320,red/system,125,0.000274
258,hoon,560883276,,123,0.000270
259,Cirru,58,,122,0.000268
260,POV-Ray SDL,275,"pov-ray, povray",122,0.000268
261,REXX,311,arexx,122,0.000268
262,jq,905371884,,119,0.000261
263,Euphoria,880693982,,119,0.000261
264,Reason,869538413,,118,0.000259
265,Genero 4gl,986054050,,110,0.000241
266,Component Pascal,67,,110,0.000241
267,VCL,384,,109,0.000239
268,Q#,697448245,qsharp,107,0.000235
269,Roc,440182480,,107,0.000235
270,Dune,754574151,,106,0.000232
271,Csound Document,74,csound-csd,103,0.000226
272,Modula-3,564743864,,103,0.000226
273,Beef,545626333,,103,0.000226
274,Pyret,252961827,,103,0.000226
275,Slang,239357863,,102,0.000224
